version_date,current_value,predict_value,previous_value,refresh_date
2009-11-06,-19,-16.6,-21.9,2022-04-10 18:35:53
2009-10-02,-26.3,-19,-20.1,2022-04-10 18:35:53
2009-09-04,-21.6,-22,-27.6,2022-04-10 18:35:53
2009-08-07,-24.7,-33,-44.3,2022-04-10 18:35:53
2009-07-02,-46.7,-37.5,-32.2,2022-04-10 18:35:53
2009-06-05,-34.5,-52.1,-50.4,2022-04-10 18:35:53
2009-05-08,-53.9,-58,-69.9,2022-04-10 18:35:53
2009-04-03,-66.3,-66.2,-65.1,2022-04-10 18:35:53
2009-03-06,-65.1,-63.6,-59.8,2022-04-10 18:35:53
2009-02-06,-59.8,-53,-52.4,2022-04-10 18:35:53
2009-01-09,-52.4,-47.5,-53.3,2022-04-10 18:35:53
2008-12-05,-53.3,-32,-24,2022-04-10 18:35:53
2008-11-07,-24,-20,-15.9,2022-04-10 18:35:53
2008-10-03,-15.9,-10,-8.4,2022-04-10 18:35:53
2008-09-05,-8.4,-7.3,-5.1,2022-04-10 18:35:53
2008-08-01,-5.1,-7.5,-6.2,2022-04-10 18:35:53
2008-07-03,-6.2,-6,-4.9,2022-04-10 18:35:53
2008-06-06,-4.9,-5.7,-2,2022-04-10 18:35:53
2008-05-02,-2,-8,-8,2022-04-10 18:35:53
2008-04-04,-8,-5,-6.3,2022-04-10 18:35:53
2008-03-07,-6.3,2.5,-1.7,2022-04-10 18:35:53
2008-02-01,1.5,--,9.7,2022-04-10 18:35:53
2008-01-04,9.7,--,11.7,2022-04-10 18:35:53
2007-12-07,11.7,--,8.3,2022-04-10 18:35:53
2007-11-02,8.3,--,8.6,2022-04-10 18:35:53
2007-10-05,8.6,--,-1.7,2022-04-10 18:35:53
2007-09-07,-1.7,--,-3.4,2022-04-10 18:35:53
2007-08-03,-3.4,--,7.1,2022-04-10 18:35:53
2007-07-06,7.1,--,14.5,2022-04-10 18:35:53
2007-06-01,14.5,--,7.8,2022-04-10 18:35:53
2007-05-04,7.8,--,18.8,2022-04-10 18:35:53
2007-04-06,18.8,--,8.8,2022-04-10 18:35:53
2007-03-09,8.8,--,23.7,2022-04-10 18:35:53
2007-02-02,23.7,--,17.2,2022-04-10 18:35:53
2007-01-05,17.2,--,20.9,2022-04-10 18:35:53
2006-12-08,20.9,--,0.3,2022-04-10 18:35:53
2006-11-03,0.3,--,15.6,2022-04-10 18:35:53
2006-10-06,15.6,--,18.5,2022-04-10 18:35:53
2006-09-01,18.5,--,20.6,2022-04-10 18:35:53
2006-08-04,20.6,--,7.7,2022-04-10 18:35:53
2006-07-07,7.7,--,2.4,2022-04-10 18:35:53
2006-06-02,2.4,--,18.2,2022-04-10 18:35:53
2006-05-05,18.2,--,28.1,2022-04-10 18:35:53
2006-04-07,28.1,--,31.5,2022-04-10 18:35:53
2006-03-10,31.5,--,27.7,2022-04-10 18:35:53
2006-02-03,27.7,--,15.8,2022-04-10 18:35:53
2006-01-06,15.8,--,33.7,2022-04-10 18:35:53
2005-12-02,33.7,--,8.4,2022-04-10 18:35:53
2005-11-04,8.4,--,6.6,2022-04-10 18:35:53
2005-10-07,6.6,--,19.6,2022-04-10 18:35:53
2005-09-02,19.6,--,37.5,2022-04-10 18:35:53
2005-08-05,37.5,--,24.3,2022-04-10 18:35:53
2005-07-08,24.3,--,17.6,2022-04-10 18:35:53
2005-06-03,17.6,--,36.3,2022-04-10 18:35:53
2005-05-06,36.3,--,13.5,2022-04-10 18:35:53
2005-04-01,13.5,--,23.9,2022-04-10 18:35:53
2005-03-04,23.9,--,13.4,2022-04-10 18:35:53
2005-02-04,13.4,--,12.9,2022-04-10 18:35:53
2005-01-07,12.9,--,6.4,2022-04-10 18:35:53
2004-12-03,6.4,--,34.5,2022-04-10 18:35:53
2004-11-05,34.5,--,16.2,2022-04-10 18:35:53
2004-10-08,16.2,--,13.2,2022-04-10 18:35:53
2004-09-03,13.2,--,3.3,2022-04-10 18:35:53
2004-08-06,3.3,--,7.4,2022-04-10 18:35:53
2004-07-02,7.4,--,30.8,2022-04-10 18:35:53
2004-06-04,30.8,--,24.8,2022-04-10 18:35:53
2004-05-07,24.8,--,33.1,2022-04-10 18:35:53
2004-04-02,33.1,--,4.6,2022-04-10 18:35:53
2004-03-05,4.6,--,16,2022-04-10 18:35:53
2004-02-06,16,--,12.3,2022-04-10 18:35:53
2004-01-09,12.3,--,1.7,2022-04-10 18:35:53
2003-12-05,1.7,--,19.6,2022-04-10 18:35:53
2003-11-07,19.6,--,10.3,2022-04-10 18:35:53
2003-10-03,10.3,--,-4.3,2022-04-10 18:35:53
2003-09-05,-4.3,--,2.4,2022-04-10 18:35:53
2003-08-01,2.4,--,0.9,2022-04-10 18:35:53
2003-07-03,0.9,--,-1,2022-04-10 18:35:53
2003-06-06,-1,--,-4.4,2022-04-10 18:35:53
2003-05-02,-4.4,--,-21,2022-04-10 18:35:53
2003-04-04,-21,--,-15.1,2022-04-10 18:35:53
2003-03-07,-15.1,--,9.1,2022-04-10 18:35:53
2003-02-07,9.1,--,-15.7,2022-04-10 18:35:53
2003-01-10,-15.7,--,1,2022-04-10 18:35:53
2002-12-06,1,--,12.5,2022-04-10 18:35:53
2002-11-01,12.5,--,-6,2022-04-10 18:35:53
2002-10-04,-6,--,-1.6,2022-04-10 18:35:53
2002-09-06,-1.6,--,-8.4,2022-04-10 18:35:53
2002-08-02,-8.4,--,5.6,2022-04-10 18:35:53
2002-07-05,5.6,--,-0.8,2022-04-10 18:35:53
2002-06-07,-0.8,--,-8,2022-04-10 18:35:53
2002-05-03,-8,--,-2,2022-04-10 18:35:53
2002-04-05,-2,--,-13.4,2022-04-10 18:35:53
2002-03-08,-13.4,--,-13.9,2022-04-10 18:35:53
2002-02-01,-13.9,--,-17.1,2022-04-10 18:35:53
2002-01-04,-17.1,--,-29.4,2022-04-10 18:35:53
2001-12-07,-29.4,--,-32.5,2022-04-10 18:35:53
2001-11-02,-32.5,--,-24.1,2022-04-10 18:35:53
2001-10-05,-24.1,--,-16,2022-04-10 18:35:53
2001-09-07,-16,--,-11.2,2022-04-10 18:35:53
2001-08-03,-11.2,--,-13.1,2022-04-10 18:35:53
2001-07-06,-13.1,--,-3.8,2022-04-10 18:35:53
2001-06-01,-3.8,--,-28.2,2022-04-10 18:35:53
2001-05-04,-28.2,--,-2.5,2022-04-10 18:35:53
2001-04-06,-2.5,--,7.1,2022-04-10 18:35:53
2001-03-09,7.1,--,-2.7,2022-04-10 18:35:53
2001-02-02,-2.7,--,14.2,2022-04-10 18:35:53
2001-01-05,14.2,--,22.5,2022-04-10 18:35:53
2000-12-08,22.5,--,-1.5,2022-04-10 18:35:53
2000-11-03,-1.5,--,13.5,2022-04-10 18:35:53
2000-10-06,13.5,--,-1.5,2022-04-10 18:35:53
2000-09-01,-1.5,--,17.9,2022-04-10 18:35:53
2000-08-04,17.9,--,-4.7,2022-04-10 18:35:53
2000-07-07,-4.7,--,22.6,2022-04-10 18:35:53
2000-06-02,22.6,--,28.7,2022-04-10 18:35:53
2000-05-05,28.7,--,46.7,2022-04-10 18:35:53
2000-04-07,46.7,--,13,2022-04-10 18:35:53
2000-03-03,13,--,23.1,2022-04-10 18:35:53
2000-02-04,23.1,--,29.5,2022-04-10 18:35:53
2000-01-07,29.5,--,29.2,2022-04-10 18:35:53
1999-12-03,29.2,--,40,2022-04-10 18:35:53
1999-11-05,40,--,21.4,2022-04-10 18:35:53
1999-10-01,21.4,--,16.6,2022-04-10 18:35:53
1999-09-03,16.6,--,31.9,2022-04-10 18:35:53
1999-08-06,31.9,--,26.1,2022-04-10 18:35:53
1999-07-02,26.1,--,21.1,2022-04-10 18:35:53
1999-06-04,21.1,--,37.6,2022-04-10 18:35:53
1999-05-07,37.6,--,10.7,2022-04-10 18:35:53
1999-04-02,10.7,--,41.1,2022-04-10 18:35:53
1999-03-05,41.1,--,12.5,2022-04-10 18:35:53
1999-02-05,12.5,--,34.7,2022-04-10 18:35:53
1999-01-01,34.7,--,28.2,2022-04-10 18:35:53
1998-12-04,28.2,--,19.8,2022-04-10 18:35:53
1998-11-06,19.8,--,22.3,2022-04-10 18:35:53
